DateTime,dswrf,uswrf
'08-Mar-2017 16:30:00',168.625,22.75
'08-Mar-2017 19:30:00',570.6875,88.5625
'08-Mar-2017 22:30:00',91,28.6875
'09-Mar-2017 01:30:00',0,0
'09-Mar-2017 04:30:00',0,0
'09-Mar-2017 07:30:00',0,0
'09-Mar-2017 10:30:00',18.875,9.5
'09-Mar-2017 13:30:00',445.875,79.375
'09-Mar-2017 16:30:00',774.625,101.125
'09-Mar-2017 19:30:00',586.375,89.625
'09-Mar-2017 22:30:00',93.75,29.25
'10-Mar-2017 01:30:00',0,0
'10-Mar-2017 04:30:00',0,0
'10-Mar-2017 07:30:00',0,0
'10-Mar-2017 10:30:00',13.3125,6.25
'10-Mar-2017 13:30:00',227.5625,40.4375
'10-Mar-2017 16:30:00',418.875,54.3125
'10-Mar-2017 19:30:00',271,42.3125
'10-Mar-2017 22:30:00',66.5625,19.125
'11-Mar-2017 01:30:00',0,0
'11-Mar-2017 04:30:00',0,0
'11-Mar-2017 07:30:00',0,0
'11-Mar-2017 10:30:00',20.3125,9.5625
'11-Mar-2017 13:30:00',452.8125,77.9375
'11-Mar-2017 16:30:00',530,67.5625
'11-Mar-2017 19:30:00',416.5625,61.5625
'11-Mar-2017 22:30:00',62.25,19
'12-Mar-2017 01:30:00',0,0
'12-Mar-2017 04:30:00',0,0
'12-Mar-2017 07:30:00',0,0
'12-Mar-2017 10:30:00',18.875,9
'12-Mar-2017 13:30:00',368.6875,62.875
'12-Mar-2017 16:30:00',555.9375,70.25
'12-Mar-2017 19:30:00',471.0625,68.8125
'12-Mar-2017 22:30:00',75.125,22.625
'13-Mar-2017 01:30:00',0,0
'13-Mar-2017 04:30:00',0,0
'13-Mar-2017 07:30:00',0,0
'13-Mar-2017 10:30:00',25.8125,12.25
'13-Mar-2017 13:30:00',482.25,82.1875
'13-Mar-2017 16:30:00',751.25,95.6875
'13-Mar-2017 19:30:00',466.375,68.8125
'13-Mar-2017 22:30:00',98.875,29.5625
'14-Mar-2017 01:30:00',0,0
'14-Mar-2017 04:30:00',0,0
'14-Mar-2017 07:30:00',0,0
'14-Mar-2017 10:30:00',8.875,4
'14-Mar-2017 13:30:00',112.875,19.75
'14-Mar-2017 16:30:00',185.5,24.75
'14-Mar-2017 19:30:00',143.875,22.1875
'14-Mar-2017 22:30:00',47.375,15.875
'15-Mar-2017 01:30:00',0,0
'15-Mar-2017 04:30:00',0,0
'15-Mar-2017 07:30:00',0,0
'15-Mar-2017 10:30:00',15.375,6.6875
'15-Mar-2017 13:30:00',448.625,73.125
'15-Mar-2017 16:30:00',626.625,78.5625
'15-Mar-2017 19:30:00',277.5,40.25
'15-Mar-2017 22:30:00',61.5,18.125
'16-Mar-2017 01:30:00',0,0
'16-Mar-2017 04:30:00',0,0
'16-Mar-2017 07:30:00',0,0
'16-Mar-2017 10:30:00',26.875,12.25
'16-Mar-2017 13:30:00',401.3125,66.6875
'16-Mar-2017 16:30:00',587.5,73.8125
'16-Mar-2017 19:30:00',470.875,68.4375
'16-Mar-2017 22:30:00',81.125,23.625
'17-Mar-2017 01:30:00',0,0
'17-Mar-2017 04:30:00',0,0
'17-Mar-2017 07:30:00',0,0
'17-Mar-2017 10:30:00',25.9375,11.375
'17-Mar-2017 13:30:00',439.75,72.0625
'17-Mar-2017 16:30:00',703.0625,88.3125
'17-Mar-2017 19:30:00',565.75,83.6875
'17-Mar-2017 22:30:00',108.5,32.125
'18-Mar-2017 01:30:00',0,0
'18-Mar-2017 04:30:00',0,0
'18-Mar-2017 07:30:00',0,0
'18-Mar-2017 10:30:00',33.9375,14.8125
'18-Mar-2017 13:30:00',504,82.75
'18-Mar-2017 16:30:00',785.75,99.125
'18-Mar-2017 19:30:00',399.5,57.1875
'18-Mar-2017 22:30:00',69.25,19.3125
